time,pv_kw,load_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,unmet_kw,pv_curtail_kw
2025-10-06 20:50:29.322298,0.0,68.4699945012081,6.563237274634414e-08,1.8374310538418848,119.9999999999969,66.63256351161642,0.0
2025-10-06 21:50:29.322305,0.0,69.53300978993572,5.8990805299667944e-08,1.6358966779086286,118.0658621109319,67.89711316983235,0.0
2025-10-06 22:50:29.322308,0.0,70.06771441992166,5.5148738935815595e-08,1.5757170592596412,116.34386566390816,68.4919974146947,0.0
2025-10-06 23:50:29.322310,0.0,69.65082017089519,5.3282875952087365e-08,1.5504249220838404,114.68521618023334,68.10039530103394,0.0
2025-10-07 00:50:29.322311,0.0,75.33992668267622,5.394231851765629e-08,1.550678389598128,113.05318999707629,73.7892483460565,0.0
2025-10-07 01:50:29.322313,0.0,77.58064351681362,5.5401639116471937e-08,1.553504006288447,111.42089700663588,76.0271395650458,0.0
2025-10-07 02:50:29.322314,0.0,79.14087482342354,5.754080977783103e-08,1.581392989680269,109.78562968422365,77.55948189049184,0.0
2025-10-07 03:50:29.322316,3.061616997868383e-15,84.07171457182119,5.915064720879375e-08,1.6663491459497144,108.12100553922065,82.40536548432493,0.0
2025-10-07 04:50:29.322317,12.940952255126037,86.62706452144006,2.091577058450729e-07,0.8519645202992607,106.36695386283183,72.83414795448986,0.0
2025-10-07 05:50:29.322319,25.000000000000007,89.005809308796,1.9102708837380854e-07,0.7103430854365219,105.47014930331866,63.29546641348286,0.0
2025-10-07 06:50:29.322320,35.35533905932738,90.44368788344141,1.725795239128092e-07,0.6111510064255364,104.72241992117378,54.47719798922711,0.0
2025-10-07 07:50:29.322322,43.30127018922194,92.59259090044952,1.5155192053101777e-07,0.5348634966525765,104.07910323625214,48.756457365140236,0.0
2025-10-07 08:50:29.322323,48.29629131445341,90.64492447991694,1.2240492364040906e-07,0.5112026180516929,103.51608917322054,41.83743066896999,0.0
2025-10-07 09:50:29.322324,50.0,91.29268785640973,1.0404630219787293e-07,0.4746872676518327,102.97798127050021,40.81800069206064,0.0
2025-10-07 10:50:29.322325,48.29629131445341,89.52070732774067,9.167139686095438e-08,0.48944431211536316,102.47831056128642,40.73497179204355,0.0
2025-10-07 11:50:29.322327,43.30127018922194,89.54506288673602,9.69498494066004e-08,0.506326912483925,101.96310610930219,45.737465881031234,0.0
2025-10-07 12:50:29.322328,35.35533905932738,86.06832202486845,1.0218281913509694e-07,0.5849390698780436,101.43013050404981,50.128043996781955,0.0
2025-10-07 13:50:29.322329,25.000000000000007,82.61973132920166,1.118382418325358e-07,0.707801028069786,100.8144052644065,56.91193041194341,0.0
2025-10-07 14:50:29.322331,12.940952255126037,78.74894646022906,1.3360776142086954e-07,0.8674051238151969,100.06935165689185,64.94058921403204,0.0
2025-10-07 15:50:29.322332,3.061616997868383e-15,76.49863977380951,6.143302722003025e-08,1.7464151320613923,99.1562937587473,74.75222470232728,0.0
2025-10-07 16:50:29.322333,0.0,74.01205042716715,6.153662117589185e-08,1.6321596344801113,97.31796209914597,72.37989085323184,0.0
2025-10-07 17:50:29.322334,0.0,71.12052534126289,6.010294389693907e-08,1.583714155602906,95.59989938446542,69.53681124463382,0.0
2025-10-07 18:50:29.322336,0.0,71.40923114465097,5.943961361357888e-08,1.5690937926550055,93.93283190934625,69.84013741020235,0.0
2025-10-07 19:50:29.322337,0.0,69.78626794515476,5.861429569421614e-08,1.576618820687613,92.28115428933154,68.20964918176277,0.0
2025-10-07 20:50:29.322338,0.0,64.31281902860628,5.749946071807809e-08,1.6186221993673031,90.62155558639321,62.694196885364654,0.0
2025-10-07 21:50:29.322339,0.0,65.82438409429865,5.861541153995155e-08,1.6334826144753745,88.91774279957505,64.19090153707573,0.0
2025-10-07 22:50:29.322341,0.0,69.36438550448064,6.063731496311057e-08,1.6429264188605197,87.19828747159805,67.72145914496073,0.0
2025-10-07 23:50:29.322342,0.0,70.91086205595388,6.18375415463726e-08,1.674724842364095,85.46889129882068,69.2361372742346,0.0
2025-10-08 00:50:29.322343,0.0,74.31619163629794,6.274340516442673e-08,1.7122882739368017,83.70602310244296,72.6039034240433,0.0
2025-10-08 01:50:29.322344,0.0,77.22838725528574,6.243628604127549e-08,1.7721198099165616,81.9036144526388,75.45626750688602,0.0
2025-10-08 02:50:29.322346,0.0,83.38854200808169,6.10552191936848e-08,1.8921138161972262,80.03822523835373,81.49642825215658,0.0
2025-10-08 03:50:29.322347,3.061616997868383e-15,81.25752040445839,5.780608997528593e-08,2.0817749637739293,78.0465265424613,79.17574549782289,0.0
2025-10-08 04:50:29.322348,12.940952255126037,85.35051938774157,6.506498075496396e-08,1.134863982090971,75.85518453024363,71.27470321487964,0.0
2025-10-08 05:50:29.322350,25.000000000000007,92.10038578368386,7.190199410554616e-08,0.9745672563942849,74.66059092669354,66.12581859832008,0.0
2025-10-08 06:50:29.322351,35.35533905932738,91.56144433295565,7.683299231002614e-08,0.871908342253518,73.63473072510894,55.334197007173195,0.0
2025-10-08 07:50:29.322352,43.30127018922194,92.80572411987353,8.07400973537144e-08,0.8345881787134318,72.71693254309389,48.66986583168514,0.0
2025-10-08 08:50:29.322353,48.29629131445341,91.05422827609506,8.688794845459675e-08,0.8682397946410896,71.83841874746446,41.889697253043295,0.0
2025-10-08 09:50:29.322355,50.0,88.57212923301292,9.350910475632234e-08,0.9546679366379135,70.9244822040675,37.617461389155835,0.0
2025-10-08 10:50:29.322356,48.29629131445341,90.6950553296261,9.076334786740944e-08,1.0638717031045677,69.91956867538511,41.334892402061286,0.0
2025-10-08 11:50:29.322357,43.30127018922194,88.67820421893148,8.50244445920107e-08,1.2928217097014818,68.79970381097156,44.08411240411964,0.0
2025-10-08 12:50:29.322358,35.35533905932738,83.88895446669933,7.46319920715513e-08,1.6112591583535534,67.438838934162,46.922356322620125,0.0
2025-10-08 13:50:29.322360,25.000000000000007,81.97022618505561,6.442808418690522e-08,1.9732630173227255,65.7427767331091,54.99696323120785,0.0
2025-10-08 14:50:29.322361,12.940952255126037,79.88473011243643,5.703773937118509e-08,2.4343288248674058,63.66565782871081,64.50944908877949,0.0
2025-10-08 15:50:29.322362,3.061616997868383e-15,75.44125359297803,4.6855490558313306e-08,4.145461725022689,61.10320648829741,71.2957919143751,0.0
2025-10-08 16:50:29.322363,0.0,73.85456044757872,4.458447782996546e-08,4.842780479457203,56.73956261173175,69.01178001225956,0.0
2025-10-08 17:50:29.322365,0.0,71.65128746262171,4.3236534165225465e-08,5.992447446267555,51.64189899149877,65.65884005903531,0.0
2025-10-08 18:50:29.322366,0.0,69.65723667339988,4.3855056682654474e-08,8.132321421313776,45.33405961544823,61.52491529518363,0.0
2025-10-08 19:50:29.322367,0.0,67.7161930764444,4.483007369314432e-08,15.935035287129622,36.77372131888433,51.78115783313536,0.0
